data_path,routine,P,R,F1,S,shd,time,CIT
../data/andes-gauss-1000/0/data.csv,PC,0.2772511848341232,0.34615384615384615,0.3078947368421053,0.5308056872037915,466,1073.7466914653778,24090
../data/andes-gauss-1000/1/data.csv,PC,0.2904761904761905,0.3609467455621302,0.32189973614775724,0.5261904761904762,464,1010.2771084308624,24090
../data/andes-gauss-1000/2/data.csv,PC,0.28211009174311924,0.363905325443787,0.31782945736434104,0.5458715596330275,477,987.113349199295,24090
../data/andes-gauss-1000/3/data.csv,PC,0.23923444976076555,0.2958579881656805,0.2645502645502646,0.5239234449760766,487,1188.140368461609,24090
../data/andes-gauss-1000/4/data.csv,PC,0.2834467120181406,0.3698224852071006,0.3209242618741977,0.5238095238095238,478,1008.1128470897675,24090
../data/andes-gauss-1000/5/data.csv,PC,0.2934272300469484,0.3698224852071006,0.32722513089005234,0.5234741784037559,467,1026.138332605362,24090
../data/andes-gauss-1000/6/data.csv,PC,0.3222748815165877,0.40236686390532544,0.3578947368421052,0.476303317535545,436,1096.863934993744,24090
../data/andes-gauss-1000/7/data.csv,PC,0.2971698113207547,0.3727810650887574,0.3307086614173228,0.5094339622641509,455,1305.8050611019135,24090
../data/andes-gauss-1000/8/data.csv,PC,0.27,0.31952662721893493,0.2926829268292683,0.5625,478,1091.1537697315216,24090
../data/andes-gauss-1000/9/data.csv,PC,0.28028503562945367,0.34911242603550297,0.31093544137022394,0.5106888361045131,460,1040.5235319137573,24090
../data/win95pts-gauss-1000/0/data.csv,PC,0.4485294117647059,0.5446428571428571,0.4919354838709677,0.21323529411764705,107,3.527360439300537,2850
../data/win95pts-gauss-1000/1/data.csv,PC,0.35947712418300654,0.49107142857142855,0.4150943396226415,0.2875816993464052,130,3.171593427658081,2850
../data/win95pts-gauss-1000/2/data.csv,PC,0.3333333333333333,0.44642857142857145,0.38167938931297707,0.2866666666666667,131,4.1581010818481445,2850
../data/win95pts-gauss-1000/3/data.csv,PC,0.3058823529411765,0.4642857142857143,0.3687943262411348,0.3,138,3.503446102142334,2850
../data/win95pts-gauss-1000/4/data.csv,PC,0.33557046979865773,0.44642857142857145,0.3831417624521073,0.2953020134228188,130,3.435340404510498,2850
../data/win95pts-gauss-1000/5/data.csv,PC,0.3246753246753247,0.44642857142857145,0.3759398496240602,0.2857142857142857,131,3.084249496459961,2850
../data/win95pts-gauss-1000/6/data.csv,PC,0.2962962962962963,0.42857142857142855,0.3503649635036496,0.30864197530864196,142,2.922053337097168,2850
../data/win95pts-gauss-1000/7/data.csv,PC,0.3618421052631579,0.49107142857142855,0.4166666666666667,0.24342105263157895,123,3.4861831665039062,2850
../data/win95pts-gauss-1000/8/data.csv,PC,0.3374233128834356,0.49107142857142855,0.39999999999999997,0.27607361963190186,133,4.0392773151397705,2850
../data/win95pts-gauss-1000/9/data.csv,PC,0.33793103448275863,0.4375,0.3813229571984436,0.31724137931034485,129,4.688678741455078,2850
../data/link-gauss-1000/0/data.csv,PC,0.22916666666666666,0.2737777777777778,0.24949372215471852,0.47470238095238093,1618,4320.391390800476,254541
../data/link-gauss-1000/1/data.csv,PC,0.22575869726128794,0.27111111111111114,0.24636510500807757,0.4826054774241303,1643,3510.8326041698456,254541
../data/link-gauss-1000/2/data.csv,PC,0.22747093023255813,0.2782222222222222,0.2502998800479808,0.4898255813953488,1660,3217.305023431778,254541
../data/link-gauss-1000/3/data.csv,PC,0.24924471299093656,0.29333333333333333,0.2694977541853818,0.45770392749244715,1601,3477.384331226349,254541
../data/link-gauss-1000/4/data.csv,PC,0.2210909090909091,0.2702222222222222,0.2432,0.47709090909090907,1652,3502.4942088127136,254541
../data/link-gauss-1000/5/data.csv,PC,0.23111443530291698,0.27466666666666667,0.25101543460601133,0.47344801795063574,1622,3674.0532557964325,254541
../data/link-gauss-1000/6/data.csv,PC,0.23555555555555555,0.2826666666666667,0.25696969696969696,0.4674074074074074,1623,3161.332867860794,254541
../data/link-gauss-1000/7/data.csv,PC,0.2272385252069225,0.26844444444444443,0.24612876935615322,0.4762979683972912,1621,3156.116606235504,254541
../data/link-gauss-1000/8/data.csv,PC,0.23607038123167157,0.2862222222222222,0.2587384491763761,0.47873900293255134,1623,2792.710137605667,254541
../data/link-gauss-1000/9/data.csv,PC,0.23647604327666152,0.272,0.25299710624224886,0.455177743431221,1587,3694.1374335289,254541
../data/munin-gauss-1000/0/data.csv,PC,0.3642064640617463,0.5404438081603435,0.4351585014409222,0.3941148094548963,1719,14863.029866933823,541320
../data/munin-gauss-1000/1/data.csv,PC,0.35585804569761786,0.5239799570508232,0.4238563983786913,0.3723869713174526,1719,13026.297375440598,541320
../data/munin-gauss-1000/2/data.csv,PC,0.3452893352462936,0.5168217609162491,0.4139908256880734,0.381635581061693,1747,14878.162688493729,541320
../data/diabetes-gauss-1000/2/data.csv,PC,0.3588039867109635,0.3588039867109635,0.3588039867109635,0.420265780730897,701,58863.50257754326,85078
